Delivery_ID,Rider_ID,Shift_Hour,Cumulative_Deliveries,Has_Elevator,Building_Floor,Traffic_Density,Delay_From_Target_Min,Burnout_Score
cd6d8fb1,RIDER_073,8,6,1,7,High,5.0,85
72aac815,RIDER_018,8,19,0,4,High,4.2,100
2ecc5912,RIDER_132,7,16,1,0,Low,4.3,70
69dab0c6,RIDER_089,4,21,0,8,High,0.9,100
6902263d,RIDER_060,6,23,0,2,Medium,-6.9,80
6ac74e79,RIDER_014,4,24,1,1,Medium,5.1,76
44b430a6,RIDER_009,7,14,0,2,Low,-1.2,62
28e4fca9,RIDER_090,1,4,1,6,Low,10.6,43
7eb8fc37,RIDER_053,5,18,1,10,High,3.4,76
4ecec233,RIDER_130,4,10,0,9,Medium,7.5,100
c527b8e0,RIDER_084,7,18,1,7,Medium,-2.4,81
e7c0d043,RIDER_092,9,12,0,1,Low,6.5,82
579fe945,RIDER_111,5,19,1,6,High,4.9,86
3dd07b07,RIDER_008,4,8,1,10,Medium,3.5,47
68287120,RIDER_035,9,1,1,4,Medium,-2.2,57
9a967f0f,RIDER_081,5,14,1,8,Low,-0.8,47
b145ae8b,RIDER_050,9,23,1,6,High,4.6,100
baa50d5f,RIDER_104,8,6,1,0,Medium,-0.8,62
d4508dfa,RIDER_132,4,14,1,0,Low,-1.3,53
dbd99675,RIDER_002,7,2,0,5,Medium,-0.0,83
5ef9b12e,RIDER_134,5,9,1,8,Medium,4.0,59
3e6a0d0a,RIDER_054,4,12,1,0,Medium,7.7,69
d92f9801,RIDER_106,5,5,1,2,Medium,3.7,57
cf07917f,RIDER_004,5,2,1,4,Medium,6.9,59
2a95a05f,RIDER_054,9,19,1,3,Medium,1.4,88
80f773ce,RIDER_146,9,7,1,0,Medium,10.2,91
ab7dfcbe,RIDER_044,6,7,1,9,Medium,7.3,71
58c995a9,RIDER_014,4,10,1,3,Medium,5.6,56
535c9f89,RIDER_095,2,17,0,3,Low,3.8,66
6faff1d4,RIDER_048,3,14,1,10,High,3.6,71
b850acb4,RIDER_015,2,11,0,9,Medium,-4.0,100
a232bec5,RIDER_040,5,20,1,3,Medium,-4.2,73
b3d51d69,RIDER_082,6,6,1,2,Low,4.6,60
aea92c6d,RIDER_111,5,8,1,6,Medium,2.3,62
6f402fed,RIDER_053,2,19,1,0,Medium,4.2,60
8b3b5ee6,RIDER_024,5,19,0,1,Low,-2.5,64
815a4a5e,RIDER_124,9,24,1,0,High,8.1,100
94f729e9,RIDER_041,4,24,1,3,Low,1.2,64
4b0026c3,RIDER_015,2,24,0,4,Medium,3.5,85
654aa0f8,RIDER_045,3,17,1,10,Medium,-0.0,52
adf0edd8,RIDER_065,3,24,1,9,High,3.3,80
059cfdf1,RIDER_089,9,24,1,4,Low,11.5,99
e7e7ec67,RIDER_071,4,18,1,1,Medium,6.6,69
97f64a83,RIDER_009,1,12,1,10,Medium,-0.3,40
05e82bd7,RIDER_088,1,9,1,2,Low,-2.0,32
af3f2dfe,RIDER_129,7,23,1,3,High,3.4,100
b2d7d4e8,RIDER_136,7,24,0,9,Medium,0.7,100
f445cc7a,RIDER_063,2,16,0,5,Medium,-0.7,85
74a610cd,RIDER_139,9,18,1,5,High,10.0,100
83a62ed9,RIDER_081,9,16,1,1,Medium,-5.9,84
de154b9d,RIDER_136,5,16,1,1,Medium,4.8,72
9ff25e28,RIDER_033,3,4,0,8,Medium,9.8,100
01baa73e,RIDER_123,3,23,1,1,Medium,-2.6,63
99cb3ec0,RIDER_005,3,22,1,1,Medium,0.3,62
03c48baa,RIDER_041,6,7,0,2,Medium,0.7,62
1c605328,RIDER_028,4,1,1,8,Medium,8.4,58
5f1c53de,RIDER_135,8,24,1,5,Medium,1.9,87
576f1200,RIDER_072,5,23,1,10,High,10.2,100
ef58bc2d,RIDER_012,1,20,1,5,Medium,5.4,55
c88a7b5a,RIDER_033,9,1,0,9,Low,0.6,100
88b6694e,RIDER_048,1,8,1,4,Medium,-2.5,39
a6d4eb98,RIDER_062,6,23,1,6,Medium,-2.0,78
65c1eb94,RIDER_037,1,8,1,10,Low,4.7,32
a49ebdec,RIDER_099,3,10,1,3,High,12.3,79
0b378c5b,RIDER_104,5,1,1,9,Low,0.1,44
28c919c5,RIDER_035,7,21,1,9,Medium,-0.6,78
4489589e,RIDER_101,8,21,1,2,High,4.6,97
625c2d4d,RIDER_131,9,14,1,6,Medium,1.2,76
af093b16,RIDER_001,6,14,1,9,Medium,0.1,71
ae59b4e3,RIDER_005,9,10,1,0,High,8.2,98
ce4fe16c,RIDER_142,8,19,0,5,Medium,8.1,100
881c0ad6,RIDER_103,9,16,1,10,High,3.1,100
ea1473b6,RIDER_027,4,9,0,10,Medium,-0.6,100
604de537,RIDER_137,9,20,1,10,Medium,3.6,97
f7a00b81,RIDER_015,7,16,0,1,Medium,6.1,90
3803b27b,RIDER_090,5,20,1,1,Low,7.4,70
ccc364fc,RIDER_042,5,8,1,10,High,6.5,76
593c8d41,RIDER_124,1,7,1,7,High,-8.4,50
3efd0498,RIDER_063,2,11,1,2,Medium,4.0,49
2f0deebc,RIDER_096,3,21,0,8,Low,5.1,100
7ea96542,RIDER_052,8,6,1,3,Low,5.7,68
c97ada40,RIDER_096,6,15,1,5,Low,3.4,70
f5eb28d6,RIDER_132,5,19,1,0,Medium,2.2,66
572fb4c3,RIDER_143,1,14,1,10,Medium,0.8,46
d78dc86f,RIDER_029,9,15,1,9,High,-1.2,95
56261f19,RIDER_036,3,6,1,9,High,-0.5,58
f21cd2e8,RIDER_013,3,24,1,2,Medium,7.5,76
21e6f8ed,RIDER_071,2,10,0,3,Medium,4.9,67
5eccacd3,RIDER_086,4,14,1,4,Medium,5.3,59
48c26b79,RIDER_028,2,16,1,0,Low,-0.3,41
e2f599b2,RIDER_066,9,13,1,3,High,4.1,94
8ddb6185,RIDER_045,7,11,1,4,Low,9.4,72
7d3607a0,RIDER_062,8,3,1,3,High,2.6,77
ba15ee17,RIDER_134,3,8,1,9,Medium,5.2,48
23761fa5,RIDER_028,6,3,1,9,Medium,-0.0,49
e54bb934,RIDER_028,6,2,0,6,High,0.4,100
a2fd8b6f,RIDER_108,1,21,1,7,Medium,3.1,58
0e4dfb76,RIDER_044,6,14,1,7,High,-0.8,76
9f04acc6,RIDER_084,3,20,1,2,Medium,-1.0,62
be1e78da,RIDER_030,3,21,0,4,High,1.3,100
16645119,RIDER_075,3,22,1,9,Medium,2.8,66
f793add5,RIDER_128,8,15,0,7,Medium,-0.4,100
6a7262eb,RIDER_092,5,3,0,6,Medium,2.7,96
78807299,RIDER_129,4,1,0,8,Medium,-2.5,96
9631180c,RIDER_121,9,15,1,9,High,2.7,95
aac4cb30,RIDER_027,9,20,1,6,High,-5.6,98
c382311e,RIDER_121,1,22,1,1,Medium,6.3,66
0fe961b4,RIDER_116,2,2,0,3,High,-4.2,66
1ccc773b,RIDER_003,8,18,0,7,Medium,8.2,100
b95db9f3,RIDER_103,5,1,0,8,Low,3.7,94
28eec854,RIDER_137,7,9,1,6,Medium,4.4,71
cd21d56f,RIDER_062,1,3,1,4,Medium,0.2,38
34d570a8,RIDER_051,5,2,1,0,Low,4.2,42
4ba0787e,RIDER_059,3,4,1,8,Medium,2.8,53
1e4f4f91,RIDER_118,2,16,1,5,Medium,-2.6,42
1d54b2d7,RIDER_096,2,22,1,1,Low,5.1,54
9901b1b7,RIDER_113,9,1,0,10,Medium,-1.3,100
15697db6,RIDER_062,4,9,1,9,Low,11.4,54
2ab3709a,RIDER_052,4,8,0,9,Medium,-1.1,100
6af640de,RIDER_012,7,6,0,1,High,-4.5,71
cae8c413,RIDER_039,2,20,1,9,Low,8.8,61
01655890,RIDER_130,3,18,1,0,Medium,5.1,57
8b00a00c,RIDER_131,3,16,1,3,Medium,3.8,68
438e4e27,RIDER_113,6,8,1,9,High,-0.2,69
5379eb52,RIDER_101,3,23,1,10,Medium,2.3,68
7ed1ef1b,RIDER_113,5,4,1,1,Low,1.4,41
408fe9a1,RIDER_081,4,3,0,9,High,5.6,100
0921497b,RIDER_113,3,15,1,10,Medium,-0.4,55
fd214e8f,RIDER_002,8,6,0,8,Medium,-0.0,100
f7ed3666,RIDER_130,3,1,0,1,Low,4.9,30
0a82bdb9,RIDER_054,6,18,1,10,High,7.3,100
48a60057,RIDER_087,7,23,1,8,Medium,0.5,72
e702c68a,RIDER_129,7,11,1,0,High,4.6,87
a002305c,RIDER_147,2,3,1,6,Low,6.2,38
fc037e04,RIDER_126,3,13,1,5,Medium,-1.7,49
24c81bc1,RIDER_130,4,17,0,5,Low,0.9,86
eb619206,RIDER_053,7,18,1,1,Medium,-4.9,76
231cae40,RIDER_068,2,14,1,0,High,10.2,72
3d53fee2,RIDER_123,3,7,1,9,Low,3.0,30
b55b516e,RIDER_145,7,7,1,7,Low,5.6,61
13bf2307,RIDER_038,7,14,0,7,Medium,0.4,100
2cdcdbe1,RIDER_024,3,24,0,1,Low,0.0,53
9734e348,RIDER_069,1,15,1,3,Medium,1.6,45
127aa85c,RIDER_116,3,12,0,3,Medium,1.3,70
5ebd0a43,RIDER_098,5,12,0,1,High,11.5,87
98a4f078,RIDER_139,7,8,1,10,Low,3.6,55
4b283415,RIDER_144,4,16,1,8,High,4.7,82
bf5df32b,RIDER_097,1,9,1,3,Medium,2.1,42
80d8c336,RIDER_124,6,2,1,3,Low,2.3,46
ffb7b36c,RIDER_070,2,14,1,3,Low,4.7,43
b3a462f6,RIDER_093,3,24,1,4,High,1.9,77
d9a72a48,RIDER_003,4,24,1,9,Medium,7.6,83
b8ee9e1b,RIDER_148,6,16,0,7,Medium,-1.3,100
b51e9c9e,RIDER_147,6,5,0,3,Low,6.9,77
3f5478dd,RIDER_090,7,5,1,2,Low,6.7,64
0230fa49,RIDER_147,5,20,0,10,Medium,10.3,100
1cec0c43,RIDER_148,7,21,1,0,Medium,-5.0,84
4204a388,RIDER_096,2,18,1,1,Medium,6.3,57
b13d2e33,RIDER_052,1,18,1,3,High,-0.7,67
f44b3440,RIDER_128,8,5,0,8,Medium,5.6,100
1e921685,RIDER_039,1,11,1,0,Low,5.6,44
8a665871,RIDER_082,2,13,0,5,Medium,-1.4,78
70a636b2,RIDER_104,6,3,0,5,Medium,4.9,86
a1c51631,RIDER_129,1,17,1,9,High,0.6,61
58480b73,RIDER_011,3,18,0,2,Medium,-0.8,63
581e2e03,RIDER_042,7,14,1,9,Medium,-5.5,67
e1346acf,RIDER_099,8,12,1,8,Medium,7.6,83
6bcfb541,RIDER_007,4,14,0,9,Low,1.6,100
c51ea5c3,RIDER_144,3,18,0,2,Medium,-2.2,63
2f62b543,RIDER_090,1,20,1,0,Medium,3.3,60
e7ff8898,RIDER_112,9,2,1,1,Medium,2.4,72
889da23b,RIDER_060,6,7,1,3,Medium,-1.7,59
bc007e2d,RIDER_113,6,15,1,3,High,-1.6,76
2181100c,RIDER_002,9,10,1,1,Low,6.4,75
c1a2281f,RIDER_129,1,15,1,9,Low,2.8,46
1370fd6c,RIDER_048,6,17,1,5,Medium,-0.6,69
389fb700,RIDER_140,5,11,0,5,Medium,0.5,84
3d9bbcd6,RIDER_037,6,2,0,2,Medium,0.5,53
6cb4f6c3,RIDER_009,8,21,1,0,Medium,-4.7,76
1d9cfe5c,RIDER_099,5,18,0,9,Medium,5.8,100
49b0cf11,RIDER_147,2,4,1,8,Low,0.5,22
6a27a784,RIDER_048,2,9,1,3,Low,1.4,36
d9518005,RIDER_131,5,17,1,8,Medium,4.2,73
36e95738,RIDER_148,3,17,1,4,Low,7.0,65
a879276e,RIDER_054,3,17,1,6,Low,2.8,55
40ff51a9,RIDER_120,8,16,1,2,Low,-2.4,68
ffa102b9,RIDER_116,7,20,1,2,Medium,1.0,76
6faeabbc,RIDER_075,1,8,1,7,High,1.7,53
ed26e206,RIDER_113,5,23,1,0,High,-5.3,78
020b7913,RIDER_104,9,15,1,7,High,3.9,100
62ab3acf,RIDER_084,4,1,0,7,Low,4.6,88
e2947524,RIDER_112,1,19,1,2,High,2.4,61
146707fa,RIDER_099,8,15,1,0,Medium,-1.3,73
f5dbbee4,RIDER_093,5,9,1,8,High,2.8,70
345ebc52,RIDER_146,2,5,0,3,High,6.1,78
14ac6953,RIDER_128,1,16,0,6,Medium,1.1,88
ab600035,RIDER_110,3,13,1,8,Low,5.2,50
2f3657ea,RIDER_082,9,16,0,2,Medium,3.7,89
586d25e9,RIDER_054,1,22,1,4,Medium,-5.6,52
4b82a7b2,RIDER_068,4,11,0,9,Low,-0.1,100
b4d45f3d,RIDER_033,8,13,1,10,Low,4.1,75
75dabaa5,RIDER_142,8,6,1,2,Medium,2.5,74
a7a7ee83,RIDER_021,8,20,1,4,Low,5.8,85
130d9d87,RIDER_048,8,17,1,10,High,2.9,100
82beafa5,RIDER_148,4,5,1,1,Low,4.6,37
d4a947c4,RIDER_128,8,17,0,3,Medium,0.7,99
6ed0e8fc,RIDER_136,9,1,1,1,Low,3.3,67
db079d71,RIDER_135,7,5,0,2,High,-2.1,76
f912579d,RIDER_145,2,5,1,4,Medium,5.5,48
a81753fb,RIDER_128,9,7,1,8,Low,3.1,65
e46c29a0,RIDER_033,8,16,1,2,Medium,-2.9,80
73b37791,RIDER_115,5,18,0,9,Low,1.1,100
25ee5a33,RIDER_119,3,6,1,5,Medium,12.0,56
2f56ff20,RIDER_022,7,2,1,3,Medium,1.2,62
5e570141,RIDER_038,2,13,1,3,Low,0.8,40
1f56f93f,RIDER_109,3,10,1,10,Medium,-1.0,44
92ce297f,RIDER_051,9,21,0,9,Low,-2.3,100
e9f48c13,RIDER_008,4,20,1,9,Medium,-1.9,62
94d9d57b,RIDER_027,4,11,1,4,Medium,10.1,70
30c54477,RIDER_027,3,21,1,10,Medium,3.5,65
2d4abb7e,RIDER_021,5,2,1,6,High,-3.7,56
b6ce7f78,RIDER_030,3,8,1,10,Medium,2.1,46
615f2023,RIDER_097,9,24,1,3,Medium,6.1,100
e29aa7fa,RIDER_028,3,22,1,7,High,3.7,84
dfebfcc5,RIDER_111,2,19,1,8,High,-3.5,67
3d1b6c50,RIDER_061,5,20,1,8,Medium,4.6,83
8dabb9e2,RIDER_048,6,17,1,8,High,2.1,81
30bb26de,RIDER_147,1,16,1,1,High,2.9,60
122ea9a4,RIDER_004,6,10,1,2,Low,9.4,70
851cd5d7,RIDER_035,3,5,1,4,Low,1.9,36
6e90b578,RIDER_049,4,14,1,0,Medium,-0.8,62
eab00d8e,RIDER_017,6,24,0,3,High,-4.9,100
25445c6d,RIDER_046,8,19,1,10,Low,-0.8,74
efd3d679,RIDER_117,9,4,1,4,Medium,-1.0,71
1fd07486,RIDER_006,6,20,1,8,High,-5.6,78
109485e1,RIDER_099,7,16,1,7,High,4.7,87
9f096a57,RIDER_124,5,24,1,0,Medium,4.0,77
b34fd9f6,RIDER_037,9,15,1,2,Medium,1.9,78
832e165d,RIDER_024,4,9,1,2,Low,-2.0,43
9f44fbce,RIDER_093,6,3,0,10,High,3.0,100
668bb729,RIDER_046,5,23,0,5,High,4.5,100
a0db3bc2,RIDER_095,1,9,0,3,High,9.1,86
74043641,RIDER_099,5,18,1,3,High,3.4,80
80870df6,RIDER_116,5,4,1,0,Low,3.8,44
d3ccf99a,RIDER_067,9,19,1,9,Medium,2.7,87
312f098f,RIDER_128,1,24,1,10,Low,1.2,49
92bf606c,RIDER_018,5,4,1,3,Medium,5.1,51
9be12bf4,RIDER_025,7,9,1,0,Low,1.8,54
cdeb189a,RIDER_054,6,1,1,4,Low,1.4,38
8687deea,RIDER_058,6,1,0,2,High,0.5,64
aadbe3e6,RIDER_067,7,20,1,9,Medium,0.8,81
827c7831,RIDER_104,6,19,0,4,High,3.3,100
9795d437,RIDER_024,5,3,1,2,Medium,4.5,62
0dc55540,RIDER_114,5,10,1,4,Medium,-0.9,49
684621fa,RIDER_032,9,12,1,3,Medium,2.8,85
2d7e56ae,RIDER_086,8,18,1,8,High,-1.6,96
bf12dc60,RIDER_127,4,14,1,5,Medium,4.5,69
9ac7cc20,RIDER_130,4,10,1,9,High,7.9,74
f9b33202,RIDER_017,5,10,1,1,Low,4.2,56
7658e8a7,RIDER_104,3,18,1,0,Medium,0.7,58
9803420b,RIDER_137,8,24,1,0,High,6.1,100
3dc5a99b,RIDER_043,7,1,1,0,Low,-2.9,46
8efbe401,RIDER_039,5,15,1,8,Medium,3.2,73
422e45db,RIDER_026,3,8,1,4,Medium,13.3,61
b2004148,RIDER_099,5,3,1,3,Medium,-1.5,46
ab3d14ab,RIDER_050,3,18,0,9,Low,0.7,100
f9262cc6,RIDER_013,5,9,0,4,Medium,1.1,84
e48f0684,RIDER_060,1,16,0,8,High,-2.5,100
c3dbb001,RIDER_135,6,21,1,2,Low,-1.0,64
51e8590e,RIDER_057,4,15,0,2,Medium,2.1,53
0ac55f11,RIDER_036,4,5,1,1,Low,8.4,46
a1bb7fe7,RIDER_020,8,13,1,7,Medium,3.9,82
4eaddbdd,RIDER_065,2,22,1,6,Medium,6.5,71
9de545f5,RIDER_008,4,20,0,1,Medium,5.3,71
55aca289,RIDER_144,2,7,1,3,Low,3.4,34
aedd4c1c,RIDER_142,1,16,1,6,Medium,-5.2,39
d3cc210b,RIDER_115,3,7,1,0,Medium,8.5,63
4bea9d58,RIDER_143,8,22,1,0,High,6.1,100
7427c6ea,RIDER_092,6,16,1,7,Low,3.1,60
51e55232,RIDER_098,7,13,1,5,Medium,-3.1,71
466ea5f8,RIDER_066,2,17,1,1,Medium,-3.8,52
ea279d54,RIDER_032,6,9,0,9,Low,-2.8,100
13107ea1,RIDER_086,8,12,1,9,Medium,-0.8,74
a222ce6c,RIDER_051,8,13,1,0,Medium,3.5,79
7c33f6c8,RIDER_063,4,9,1,2,Medium,1.0,55
2af3bfdb,RIDER_125,6,5,0,3,Low,2.4,75
056d7559,RIDER_150,5,7,1,4,High,4.2,72
4659cb91,RIDER_058,9,1,0,10,Low,7.2,100
33de9e62,RIDER_058,8,4,1,9,Low,-0.5,58
d5317d1c,RIDER_086,2,4,0,2,Medium,-4.7,39
193e65cc,RIDER_049,7,16,1,4,Low,-1.2,66
6695fc8d,RIDER_070,7,5,1,6,Low,4.4,60
0cd9d7ae,RIDER_015,1,22,1,10,Medium,5.3,59
3f42b45d,RIDER_054,1,4,0,8,Medium,5.4,92
abf5fa2a,RIDER_101,4,6,1,4,Medium,-0.8,52
0b08b509,RIDER_008,5,23,1,3,Medium,3.3,79
dfb7b5ac,RIDER_053,4,3,0,9,High,8.1,100
d7983702,RIDER_060,7,8,0,10,High,5.0,100
c03fd05e,RIDER_108,3,17,1,8,Low,-5.0,56
00f1fdd8,RIDER_005,7,18,1,7,Medium,1.8,83
9a9dbafb,RIDER_103,8,18,1,4,Low,0.7,71
b4a2c8f9,RIDER_006,6,12,0,8,High,-4.0,100
77de6434,RIDER_109,6,1,0,10,High,7.9,100
4d440110,RIDER_116,8,23,0,8,Medium,-3.5,100
5160cc16,RIDER_094,8,12,1,0,Medium,1.6,77
0db4e803,RIDER_047,7,11,1,5,High,7.2,94
0fb2cae1,RIDER_099,6,13,1,10,Medium,-1.5,61
9a1f645a,RIDER_055,6,3,1,4,Medium,1.9,59
f55a15b5,RIDER_052,6,8,0,5,High,4.0,100
cae9b5be,RIDER_144,8,3,1,9,High,-1.2,79
70595f41,RIDER_013,1,17,1,2,Medium,-0.3,52
3d50d3a6,RIDER_114,5,13,0,2,High,3.2,79
52a23c53,RIDER_124,3,10,1,9,Medium,4.5,53
701c7c83,RIDER_106,8,17,1,4,Low,5.1,80
b54626c2,RIDER_147,6,3,0,6,Medium,-1.9,96
bbf16c64,RIDER_145,2,13,0,3,Low,-4.5,64
c5838c17,RIDER_120,7,22,0,5,Medium,5.4,100
b795cca1,RIDER_063,7,6,1,4,High,7.0,89
a7102369,RIDER_019,5,14,1,1,High,12.4,92
6ab5805c,RIDER_092,8,10,1,10,High,14.5,100
3621fb6e,RIDER_058,5,20,1,0,Medium,9.0,80
d8e2c8d3,RIDER_090,1,16,1,5,Medium,-2.1,43
5dcc7c0a,RIDER_117,9,18,0,4,High,1.2,100
72852fb5,RIDER_062,4,13,1,8,High,4.6,78
d19e23e3,RIDER_023,2,10,1,6,High,3.9,57
8e439f2d,RIDER_127,4,6,1,0,Medium,1.3,49
8b7bda37,RIDER_137,9,10,0,9,High,7.3,100
5d7c5fb4,RIDER_140,2,5,1,5,High,0.0,50
ae73a2a1,RIDER_129,4,6,0,10,Low,2.9,100
919de948,RIDER_058,2,7,0,6,Low,2.3,76
51214708,RIDER_122,5,11,0,2,High,3.9,79
ec70652d,RIDER_001,3,16,0,8,Medium,4.2,100
b0fbcf35,RIDER_034,2,12,0,10,Low,-1.4,100
d76388cb,RIDER_096,9,12,0,10,Low,-9.2,100
f2734d77,RIDER_126,5,23,1,1,Medium,0.1,73
a911a5a1,RIDER_118,5,20,1,0,Low,3.0,65
6a114184,RIDER_048,1,5,1,9,Low,4.0,30
5c79e5b8,RIDER_089,6,16,1,9,Low,-0.5,60
cae0d405,RIDER_117,7,6,1,8,High,3.2,79
10e3a165,RIDER_129,1,9,1,6,Low,3.1,37
3a6db94e,RIDER_016,9,5,0,9,Medium,-0.7,100
db40338b,RIDER_069,8,21,0,10,Medium,1.3,100
865049de,RIDER_022,8,23,1,0,Medium,-2.8,77
1869f663,RIDER_093,7,16,1,3,Low,-5.8,65
df13266b,RIDER_076,5,18,0,9,Medium,6.9,100
076f9138,RIDER_144,3,19,0,2,Low,2.8,47
7f68c850,RIDER_086,9,12,0,10,High,0.6,100
46ec4997,RIDER_029,7,2,0,6,Medium,3.5,96
3f0004ff,RIDER_069,8,10,0,4,Low,3.9,95
04871479,RIDER_047,6,12,1,8,High,10.1,83
244c93c8,RIDER_094,5,14,1,10,Low,7.4,63
5bb45e61,RIDER_144,8,18,0,2,Medium,3.4,86
e9fe4d2b,RIDER_085,3,19,1,10,Medium,10.6,77
1ad676d9,RIDER_039,7,6,0,5,Medium,1.6,97
55b5492d,RIDER_100,2,5,1,9,Medium,6.9,44
bdf55b9c,RIDER_033,3,16,0,1,Low,-0.1,49
6b425791,RIDER_101,2,14,1,2,Medium,2.2,48
5706f798,RIDER_023,5,13,1,3,Medium,4.7,69
8c45b70f,RIDER_010,7,21,1,5,Low,2.9,82
24e06c05,RIDER_069,1,2,0,10,Medium,3.2,98
ac9d2ab4,RIDER_100,9,2,1,0,High,3.0,90
12d4a0cc,RIDER_034,1,12,0,5,Medium,7.2,87
76415c49,RIDER_138,1,1,0,3,Medium,2.4,50
edd18d62,RIDER_147,8,19,0,7,Medium,-0.4,100
586ad7f6,RIDER_096,6,16,0,8,High,1.8,100
daa43a5b,RIDER_001,6,7,1,7,Low,7.2,57
16fa663d,RIDER_069,9,21,1,7,Medium,5.4,94
a10bf798,RIDER_004,4,7,1,1,Medium,1.6,52
4dd1caf4,RIDER_016,8,16,0,9,Low,-1.1,100
f8f3aa37,RIDER_024,4,6,0,1,Medium,-0.2,46
3ed52f1b,RIDER_080,2,18,1,5,Medium,1.9,54
ffb56785,RIDER_002,8,1,1,4,High,1.7,77
99db9298,RIDER_128,7,1,1,5,Medium,-0.9,63
cd99474a,RIDER_084,4,14,1,8,Low,5.8,57
e81d161a,RIDER_140,9,6,1,9,Low,-0.3,59
9c0d5b3d,RIDER_124,9,6,1,6,Medium,-1.6,70
c05d0506,RIDER_033,8,4,1,4,Medium,1.2,61
baffa473,RIDER_101,1,12,1,9,Low,3.9,52
b869dc8d,RIDER_012,7,18,1,6,Medium,-1.7,80
359a6739,RIDER_067,5,10,1,7,High,2.2,79
00b8b904,RIDER_065,7,3,1,10,Low,0.3,53
0e05e99e,RIDER_074,9,3,1,0,Medium,0.7,63
15b023b7,RIDER_043,2,8,1,9,Medium,2.0,46
0265afb6,RIDER_044,4,22,1,10,Medium,4.4,75
048462eb,RIDER_029,4,23,1,10,Medium,2.0,75
480a3dea,RIDER_141,2,1,1,6,Medium,12.5,53
54fb0550,RIDER_012,3,18,0,3,High,4.8,93
36d9435c,RIDER_095,8,15,1,4,Low,3.6,82
244e87e0,RIDER_046,9,21,1,1,Medium,0.8,93
9d2965e8,RIDER_130,6,20,1,9,Medium,-0.0,72
89a70c1f,RIDER_035,2,17,1,4,Low,6.0,53
99890c0a,RIDER_081,2,11,0,8,Medium,-4.3,99
35d3b2a2,RIDER_090,7,13,1,0,Low,6.5,70
54065c23,RIDER_008,8,20,1,2,Medium,6.7,93
a4c79e7e,RIDER_093,8,10,1,3,Medium,1.5,74
7dde5421,RIDER_090,6,13,1,8,Medium,6.6,74
fdfa0dcd,RIDER_115,8,17,1,1,High,0.9,95
96ad98f9,RIDER_105,1,21,1,6,Low,1.6,45
ed2ba515,RIDER_135,9,1,1,8,High,4.0,80
30828967,RIDER_058,1,20,1,9,High,0.5,68
694332a3,RIDER_114,3,16,0,3,Low,4.9,77
5cb9be51,RIDER_075,9,16,0,4,High,0.1,100
ac0f1048,RIDER_120,5,21,1,9,Medium,3.1,72
d150f37c,RIDER_021,9,3,1,3,High,12.6,100
77f55713,RIDER_138,9,2,1,6,High,3.9,83
8291b513,RIDER_101,6,6,1,7,High,6.3,77
27ffd0d5,RIDER_099,1,11,0,7,Medium,5.6,92
b4fe2230,RIDER_036,7,3,1,2,Medium,-5.9,53
99724342,RIDER_096,6,1,1,1,Medium,1.6,57
c80eebca,RIDER_037,9,11,1,5,Medium,7.5,84
